title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
Happier Than Ever - Edit,Billie Eilish,0.33399999999999996,0.599,0.0,-5.742000000000001,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,spotify:track:32BeYxKPrig1LefHsC0Xuo,151444.0,3.0,59
feel like shit,Tate McRae,0.508,0.37799999999999995,7.0,-7.1579999999999995,1.0,0.0473,0.516,0.0,0.11900000000000001,0.161,144.96200000000002,spotify:track:2EBnvom1dTybtm75a3Xh1T,204315.0,4.0,87
Need to Know,Doja Cat,0.664,0.609,1.0,-6.5089999999999995,1.0,0.0707,0.304,0.0,0.0926,0.19399999999999998,130.041,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,210560.0,4.0,17
Already Dead,Juice WRLD,0.74,0.501,1.0,-6.3389999999999995,1.0,0.0592,0.019,0.0,0.114,0.11900000000000001,83.5,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,231011.0,4.0,65
Pepas,Farruko,0.762,0.7659999999999999,7.0,-3.955,1.0,0.0343,0.0077599999999999995,6.979999999999999e-05,0.128,0.442,130.001,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,287120.0,4.0,22
Do It To It,ACRAZE,0.8540000000000001,0.8059999999999999,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,spotify:track:20on25jryn53hWghthWWW3,157890.0,4.0,8
Do It To It,Cherish,0.8540000000000001,0.8059999999999999,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,spotify:track:20on25jryn53hWghthWWW3,157890.0,4.0,8
Life Goes On,Oliver Tree,0.7,0.49,0.0,-5.187,1.0,0.076,0.18600000000000003,0.0,0.11699999999999999,0.569,79.982,spotify:track:0eu4C55hL6x29mmeAjytzC,161803.0,4.0,83
good 4 u,Olivia Rodrigo,0.556,0.6609999999999999,6.0,-5.052,0.0,0.204,0.3,0.0,0.10099999999999999,0.6679999999999999,168.56,spotify:track:6PERP62TejQjgHu81OHxgM,178148.0,4.0,79
Overpass Graffiti,Ed Sheeran,0.52,0.8490000000000001,9.0,-3.7939999999999996,0.0,0.18600000000000003,0.00253,0.0,0.11900000000000001,0.774,175.908,spotify:track:4btFHqumCO31GksfuBLLv3,236907.0,4.0,63
No Love (with SZA),Summer Walker,0.7070000000000001,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,spotify:track:08SB2OtZkaliju77WYEKxk,231498.0,4.0,79
No Love (with SZA),SZA,0.7070000000000001,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,spotify:track:08SB2OtZkaliju77WYEKxk,231498.0,4.0,79
Don't Be Shy,Tiësto,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,140500.0,4.0,22
Don't Be Shy,KAROL G,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,140500.0,4.0,22
MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.81799999999998,spotify:track:3BZEcbdtXQSo7OrvKRJ6mb,137876.0,4.0,67
Toxic,BoyWithUke,0.594,0.612,8.0,-6.627000000000001,0.0,0.363,0.835,0.0,0.461,0.687,179.62900000000002,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,168020.0,4.0,13
Meet Me At Our Spot,THE ANXIETY,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.39899999999999997,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0,7
Meet Me At Our Spot,WILLOW,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.39899999999999997,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0,7
Meet Me At Our Spot,Tyler Cole,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.39899999999999997,94.995,spotify:track:07MDkzWARZaLEdKxo6yArG,162680.0,4.0,7
Beggin',Måneskin,0.7140000000000001,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,spotify:track:3Wrjm47oTz2sjIgck11l5e,211560.0,4.0,30
